Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclClass,CountDeclInstanceMethod
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.setHora",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.setReservas",,,1,1,0,,,,,3,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas",59,1,11,,0,1,0,1,0,44,4,,11
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.RelatorioReservas",,,1,1,0,,,,,6,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getData",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getQuantidadeAlunosManha",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getQuantidadeAlunosNoite",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getQuantidadeAlunosTarde",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getQuantidadeAlunosTotal",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.incrementarAlunos",,,1,1,0,,,,,5,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.setData",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.setQuantidadeAlunosManha",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.setQuantidadeAlunosNoite",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.setQuantidadeAlunosTarde",,,1,1,0,,,,,3,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario",50,1,4,,0,1,0,1,0,16,4,,4
Public Method,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario.getHorario",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario.getStatus",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario.setHorario",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario.setStatus",,,1,1,0,,,,,3,0,,
Package,"br.edu.utfpr.biblioteca.salas.model.bo",,1,90,,2,,,,,520,193,8,32
Public Class,"br.edu.utfpr.biblioteca.salas.model.bo.AdministradorBO",0,4,4,,2,1,0,1,5,22,4,,1
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.AdministradorBO.gerarRelatorio",,,4,1,2,,,,,19,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO",61,2,14,,2,1,0,1,2,82,4,,6
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.ParserCsvBO",,,4,1,1,,,,,23,0,,
Private Method,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.getMeses",,,3,1,2,,,,,13,0,,
Private Method,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.writeCsvReservasMensalOrAnual",,,3,1,2,,,,,14,0,,
Private Method,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.writeCsvReservasSemana",,,2,1,1,,,,,12,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.writeFile",,,1,1,0,,,,,7,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.writeFileQtdAlunos",,,1,1,0,,,,,8,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO",84,2,26,,2,1,0,1,12,117,66,,10
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.descreverDia",,,1,1,0,,,,,7,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.descreverDiaHash",,,4,1,2,,,,,19,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.descreverHorario",,,3,1,2,,,,,13,10,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.descreverMes",,,2,1,1,,,,,8,7,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.fazerCheckin",,,4,1,1,,,,,15,6,,
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.fazerCheckout",,,4,1,1,,,,,15,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.getReservaAtiva",,,1,1,0,,,,,3,8,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.getReservaAtiva",,,1,1,0,,,,,3,7,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.getReservaPorId",,,1,1,0,,,,,3,6,,
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.retornaHorarios",,,1,1,0,,,,,6,9,,
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.retornaSalas",,,1,1,0,,,,,7,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.setStatus",,,1,1,0,,,,,4,7,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.update",,,2,1,1,,,,,9,6,,
Public Class,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBOTest",83,1,11,,1,1,0,1,6,54,15,,6
